| Software Version | Protocol Version |1ME| 1ME Panel |GPI|TVS| 2ME Panel |2ME|PS4K| 1ME 4K | 2ME 4K | 4ME 4K | 1ME Adv Panel | Cam Panel | TVS HD | TVS HD Pro | TVS Pro 4K |8K|Mini| Mini Pro | 2ME Adv Panel | 4ME Adv Panel 
|||bd48|bd4a|bd50|bd52|bd57|bd5c|bd6e|bd81|bd87|bdce/bd4b|bdeb/be4a|be0e|be25|be26|be2c|be33|be49|be55|be57|be58
|---||---|---||||||||||||||||||
|8.0|2.28|✅|✅||✅|✅|✅|✅|✅|✅|✅|✅|✅|✅|✅|✅|New||||
|8.0.1|2.29|✅|✅|✅|✅|✅|✅|✅|✅|✅|✅|✅|✅|✅|✅|✅|✅||||
|8.0.2|||✅|||✅|||||✅|✅|||||✅||||
|8.0.3|||||||||||✅|✅|✅|✅|✅|✅|✅||||
|8.1||||||||||||||||||New|||
|8.1.1|2.30|✅|✅||✅|✅|✅|✅|✅|✅|✅|✅|✅|✅|✅|✅|✅|✅|||
|8.1.2|||||||||||||||||✅||||
|8.2||||||||||||||||||✅|New||
|8.2.1|||||||||||||||||||✅||
|8.2.2||||||||||||||||||✅|✅||
|8.2.3||||||||||||||||||✅|✅||
|8.3||||||||||||✅|✅|||||||New|New
